"","values","value2"
"1041",NA,NA
"1042",NA,NA
"1043",NA,NA
"1044",NA,NA
"1045",NA,NA
"1046",NA,NA
"1047",NA,NA
"1048",NA,NA
"1049",NA,NA
"1050",NA,NA
"1051",NA,NA
"1052",NA,NA
"1053",NA,NA
"1054",NA,NA
"1055",NA,NA
"1056",NA,NA
"1057",NA,NA
"1058",NA,NA
"1059",11.4,11.4
"1060",NA,NA
"1061",11.6,11.6
"1062",NA,NA
"1063",NA,NA
"1064",NA,NA
"1065",11.4,11.4
"1066",NA,NA
"1067",11.7,11.7
"1068",2.4,2.4
"1069",12.3,12.3
"1070",3.6,3.6
"1071",7.3,7.3
"1072",1.4,1.4
"1073",10.3,10.3
"1074",2.6,2.6
"1075",9.7,9.7
"1076",0.7,0.7
"1077",8.8,8.8
"1078",2.8,2.8
"1079",7.6,7.6
"1080",0.2,0.2
"1081",7.6,7.6
"1082",0,0
"1083",8.3,8.3
"1084",NA,NA
"1085",6.1,6.1
"1086",0,0
"1087",8.3,8.3
"1088",NA,NA
"1089",7.1,7.1
"1090",3.7,3.7
"1091",10.3,10.3
"1092",1.6,1.6
"1093",7.7,7.7
"1094",6.1,6.1
"1095",9.5,9.5
"1096",NA,NA
"1097",9.8,9.8
"1098",10,10
"1099",12,12
"1100",10.1,10.1
"1101",13.1,13.1
"1102",9.6,9.6
"1103",12.7,12.7
"1104",9.4,9.4
"1105",12.3,12.3
"1106",NA,NA
"1107",12.8,12.8
"1108",3.7,3.7
"1109",10.5,10.5
"1110",5.8,5.8
"1111",9.3,9.3
"1112",8,8
"1113",2.4,2.4
"1114",8.3,8.3
"1115",0.1,0.1
"1116",8.5,8.5
"1117",0.8,0.8
"1118",8.2,8.2
"1119",0,0
"1120",10.2,10.2
"1121",0,0
"1122",7.3,7.3
"1123",1.2,1.2
"1124",7.8,7.8
"1125",2.8,2.8
"1126",6.9,6.9
"1127",1.4,1.4
"1128",7,7
"1129",1.7,1.7
"1130",7.3,7.3
"1131",5.3,5.3
"1132",8.1,8.1
"1133",6.6,6.6
"1134",10.1,10.1
"1135",NA,NA
"1136",10.1,10.1
"1137",10,10
"1138",13.1,13.1
"1139",10.6,10.6
"1140",12.4,12.4
"1141",NA,NA
"1142",12.1,12.1
"1143",9.8,9.8
"1144",11.3,11.3
"1145",7.9,7.9
"1146",12.4,12.4
"1147",6.9,6.9
"1148",11.4,11.4
"1149",4.8,4.8
"1150",12.1,12.1
"1151",1.6,1.6
"1152",11.2,11.2
"1153",0.7,0.7
"1154",11.7,11.7
"1155",0.5,0.5
"1156",9.8,9.8
"1157",0.3,0.3
"1158",7.7,7.7
"1159",0.2,0.2
"1160",8.2,8.2
"1161",0.1,0.1
"1162",7.5,7.5
"1163",0.1,0.1
"1164",9.6,9.6
"1165",1.6,1.6
"1166",8.3,8.3
"1167",0.1,0.1
"1168",7.2,7.2
"1169",6.1,6.1
"1170",8.4,8.4
"1171",6.9,6.9
"1172",11.3,11.3
"1173",7.9,7.9
"1174",10.1,10.1
"1175",8.8,8.8
"1176",11.5,11.5
"1177",11,11
"1178",13.2,13.2
"1179",10.9,10.9
"1180",13.3,13.3
"1181",10.5,10.5
"1182",11.5,11.5
"1183",8,8
"1184",11.8,11.8
"1185",7.5,7.5
"1186",10.9,10.9
"1187",7.4,7.4
"1188",11,11
"1189",3.6,3.6
"1190",11.3,11.3
"1191",1.3,1.3
"1192",10.1,10.1
"1193",0.4,0.4
"1194",9.1,9.1
"1195",0.3,0.3
"1196",9.4,9.4
"1197",1.2,1.2
"1198",7.9,7.9
"1199",0,0
"1200",7,7
"1201",0.1,0.1
"1202",7.5,7.5
"1203",0,0
"1204",7.5,7.5
"1205",0.1,0.1
"1206",6.9,6.9
"1207",1.2,1.2
"1208",9.8,9.8
"1209",NA,NA
"1210",8.1,8.1
"1211",4.6,4.6
"1212",10.4,10.4
"1213",7.4,7.4
"1214",9,9
"1215",8.2,8.2
"1216",9.9,9.9
"1217",9.8,9.8
"1218",12,12
"1219",10,10
"1220",11.6,11.6
"1221",10.2,10.2
"1222",11.2,11.2
"1223",9.8,9.8
"1224",11.1,11.1
"1225",8.8,8.8
"1226",10.6,10.6
"1227",7.6,7.6
"1228",10.2,10.2
"1229",6.8,6.8
"1230",9.8,9.8
"1231",4.8,4.8
"1232",9.7,9.7
"1233",2.4,2.4
"1234",9,9
"1235",0.7,0.7
"1236",11.2,11.2
"1237",0.5,0.5
"1238",8.8,8.8
"1239",0.2,0.2
"1240",10.3,10.3
"1241",0.3,0.3
"1242",15.8,15.8
"1243",0.2,0.2
"1244",8.8,8.8
"1245",3.4,3.4
"1246",9.7,9.7
"1247",0.2,0.2
"1248",7.5,7.5
"1249",5.6,5.6
"1250",9.4,9.4
"1251",4.6,4.6
"1252",8,8
"1253",5.2,5.2
"1254",9.4,9.4
"1255",10.4,10.4
"1256",11.6,11.6
"1257",10.8,10.8
"1258",12.7,12.7
"1259",9.3,9.3
"1260",11.6,11.6
"1261",9.3,9.3
"1262",11.8,11.8
"1263",8,8
"1264",12,12
"1265",6.1,6.1
"1266",12.9,12.9
"1267",5.5,5.5
"1268",13.5,13.5
"1269",0.6,0.6
"1270",8.9,8.9
"1271",0.1,0.1
"1272",7.9,7.9
"1273",NA,NA
"1274",7.1,7.1
"1275",2,2
"1276",8.4,8.4
"1277",NA,NA
"1278",NA,NA
"1279",0.1,0.1
"1280",8.7,8.7
"1281",NA,NA
"1282",NA,NA
"1283",1.8,1.8
"1284",9,9
"1285",NA,NA
"1286",NA,NA
"1287",0,0
"1288",8.3,8.3
"1289",NA,NA
"1290",NA,NA
"1291",0.1,0.1
"1292",8.1,8.1
"1293",NA,NA
"1294",NA,NA
"1295",0.1,0.1
"1296",7.6,7.6
"1297",NA,NA
"1298",NA,NA
