"station"	"date"	"layer"	"no23f..Data.values"	"no23f..Data.value2"	"no23f.remark.codes"	"no23f.value.codes"	"no23f.reporting.level"	"no23f.reporting.method"	"no23f.reporting.units"	"no23f.analyte.method"	"no23f.analyte.name"	"no23f.unique.code"
"CB3.3C"	1988-07-06	"B"	 0.01055	 0.01055	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-06	"S"	 0.07500	 0.07500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-19	"B"	 0.00145	 0.00145	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-07-19	"S"	 0.02060	 0.02060	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-09	"B"	 0.00565	 0.00565	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-09	"S"	 0.00360	 0.00360	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-23	"B"	 0.00275	 0.00275	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-08-23	"S"	 0.19500	 0.19500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-07	"B"	 0.04550	 0.04550	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-07	"S"	 0.36000	 0.36000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-20	"B"	 0.13150	 0.13150	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-09-20	"S"	 0.17900	 0.17900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-04	"B"	 0.15600	 0.15600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-04	"S"	 0.23700	 0.23700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-19	"B"	 0.16800	 0.16800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-10-19	"S"	 0.17200	 0.17200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-11-21	"B"	 0.13150	 0.13150	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-11-21	"S"	 0.29700	 0.29700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-12-06	"B"	 0.08950	 0.08950	" "	""	NA	""	""	""	""	""
"CB3.3C"	1988-12-06	"S"	 0.41100	 0.41100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-01-18	"B"	 0.11850	 0.11850	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-01-18	"S"	 0.50300	 0.50300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-02-13	"B"	 0.05500	 0.05500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-02-13	"S"	 0.37200	 0.37200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-03-21	"B"	 0.21350	 0.21350	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-03-21	"S"	 0.45000	 0.45000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-04	"B"	 0.21950	 0.21950	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-04	"S"	 0.87000	 0.87000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-18	"B"	 0.33150	 0.33150	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-04-18	"S"	 0.89000	 0.89000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-02	"B"	 0.22000	 0.22000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-02	"S"	 0.62000	 0.62000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-16	"B"	 0.27100	 0.27100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-05-16	"S"	 1.08000	 1.08000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-13	"B"	 0.32150	 0.32150	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-13	"S"	 0.61800	 0.61800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-27	"B"	 0.23700	 0.23700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-27	"S"	 0.98000	 0.98000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-11	"B"	 0.00500	 0.00500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-11	"S"	 0.60300	 0.60300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-25	"B"	 0.00190	 0.00190	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-25	"S"	 0.50800	 0.50800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-15	"B"	 0.00350	 0.00350	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-15	"S"	 0.47200	 0.47200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-29	"B"	 0.04780	 0.04780	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-29	"S"	 0.28000	 0.28000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-12	"B"	 0.03290	 0.03290	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-12	"S"	 0.28400	 0.28400	" "	""	NA	""	""	""	""	""
