"station"	"date"	"layer"	"tp..Data.values"	"tp..Data.value2"	"tp.remark.codes"	"tp.value.codes"	"tp.reporting.level"	"tp.reporting.method"	"tp.reporting.units"	"tp.analyte.method"	"tp.analyte.name"	"tp.unique.code"
"CB3.3C"	1989-05-16	"S"	0.05130	0.05130	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-13	"B"	0.01105	0.01105	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-13	"S"	0.03550	0.03550	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-27	"B"	0.02950	0.02950	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-06-27	"S"	0.04940	0.04940	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-11	"B"	0.09680	0.09680	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-11	"S"	0.04430	0.04430	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-25	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-25	"S"	0.06480	0.06480	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-15	"B"	0.09260	0.09260	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-15	"S"	0.04550	0.04550	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-29	"B"	0.04750	0.04750	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-29	"S"	0.11690	0.11690	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-12	"B"	0.06815	0.06815	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-12	"S"	0.06040	0.06040	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-27	"B"	0.05495	0.05495	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-27	"S"	0.05160	0.05160	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-10	"B"	0.04140	0.04140	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-10	"S"	0.03450	0.03450	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-24	"B"	0.04085	0.04085	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-24	"S"	0.04370	0.04370	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-11-14	"B"	0.05710	0.05710	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-11-14	"S"	0.03460	0.03460	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-12-12	"B"	0.08595	0.08595	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-12-12	"S"	0.05050	0.05050	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-01-09	"B"	0.10360	0.10360	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-01-09	"S"	0.02480	0.02480	" "	""	NA	""	""	""	""	""
