"station"	"date"	"layer"	"pn..Data.values"	"pn..Data.value2"	"pn.remark.codes"	"pn.value.codes"	"pn.reporting.level"	"pn.reporting.method"	"pn.reporting.units"	"pn.analyte.method"	"pn.analyte.name"	"pn.unique.code"
"CB3.3C"	1989-07-25	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-07-25	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-15	"B"	 0.09645	 0.09645	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-15	"S"	 0.25100	 0.25100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-29	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-29	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-12	"B"	 0.09720	 0.09720	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-12	"S"	 0.40300	 0.40300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-27	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-27	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-10	"B"	 0.15900	 0.15900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-10	"S"	 0.18300	 0.18300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-24	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-24	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-11-14	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-11-14	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-12-12	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-12-12	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-01-09	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-01-09	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-02-07	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-02-07	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-06	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-06	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-21	"B"	 0.48000	 0.48000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-21	"S"	 0.17000	 0.17000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-03	"B"	 0.41750	 0.41750	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-03	"S"	 0.18700	 0.18700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-17	"B"	 0.29000	 0.29000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-17	"S"	 0.20000	 0.20000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-15	"B"	 0.10205	 0.10205	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-15	"S"	 0.16400	 0.16400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-30	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-30	"S"	 0.09350	 0.09350	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-12	"B"	 0.07175	 0.07175	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-12	"S"	 0.16200	 0.16200	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-26	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-26	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-17	"B"	 0.10550	 0.10550	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-17	"S"	 0.46100	 0.46100	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-31	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-31	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-14	"B"	 0.08545	 0.08545	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-14	"S"	 0.65600	 0.65600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-28	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-28	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-11	"B"	 0.10550	 0.10550	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-11	"S"	 0.43400	 0.43400	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-25	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-25	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-16	"B"	 0.16300	 0.16300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-16	"S"	 0.16600	 0.16600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-30	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-30	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-11-13	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-11-13	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-12-11	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-12-11	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-01-08	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-01-08	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-02-12	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-02-12	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-13	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-13	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-26	"B"	 0.34300	 0.34300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-26	"S"	 0.18600	 0.18600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-09	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-09	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-23	"B"	 0.50850	 0.50850	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-23	"S"	 0.39900	 0.39900	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-07	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-07	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-21	"B"	 0.10270	 0.10270	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-21	"S"	 0.20800	 0.20800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-06	"B"	 0.09860	 0.09860	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-06	"S"	 0.13300	 0.13300	" "	""	NA	""	""	""	""	""
