"station"	"date"	"layer"	"pp..Data.values"	"pp..Data.value2"	"pp.remark.codes"	"pp.value.codes"	"pp.reporting.level"	"pp.reporting.method"	"pp.reporting.units"	"pp.analyte.method"	"pp.analyte.name"	"pp.unique.code"
"CB3.3C"	1990-05-15	"B"	 0.01445	 0.01445	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-15	"S"	 0.01710	 0.01710	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-30	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-30	"S"	 0.01440	 0.01440	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-12	"B"	 0.01785	 0.01785	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-12	"S"	 0.02650	 0.02650	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-26	"B"	 0.03185	 0.03185	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-26	"S"	 0.02240	 0.02240	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-17	"B"	 0.01895	 0.01895	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-17	"S"	 0.02300	 0.02300	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-31	"B"	 0.01010	 0.01010	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-31	"S"	 0.04090	 0.04090	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-14	"B"	 0.01580	 0.01580	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-14	"S"	 0.04680	 0.04680	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-28	"B"	 0.00765	 0.00765	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-28	"S"	 0.03430	 0.03430	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-11	"B"	 0.01475	 0.01475	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-11	"S"	 0.03850	 0.03850	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-25	"B"	 0.02075	 0.02075	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-25	"S"	 0.03350	 0.03350	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-16	"B"	 0.03235	 0.03235	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-16	"S"	 0.02450	 0.02450	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-30	"B"	 0.02520	 0.02520	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-30	"S"	 0.02110	 0.02110	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-11-13	"B"	 0.03195	 0.03195	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-11-13	"S"	 0.01700	 0.01700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-12-11	"B"	 0.08750	 0.08750	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-12-11	"S"	 0.02060	 0.02060	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-01-08	"B"	 0.02640	 0.02640	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-01-08	"S"	 0.01190	 0.01190	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-02-12	"B"	 0.03795	 0.03795	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-02-12	"S"	 0.01480	 0.01480	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-13	"B"	 0.07850	 0.07850	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-13	"S"	 0.02750	 0.02750	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-26	"B"	 0.02865	 0.02865	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-26	"S"	 0.02610	 0.02610	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-09	"B"	 0.02730	 0.02730	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-09	"S"	 0.02810	 0.02810	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-23	"B"	 0.04295	 0.04295	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-23	"S"	 0.02830	 0.02830	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-07	"B"	 0.03120	 0.03120	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-07	"S"	 0.02590	 0.02590	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-21	"B"	 0.01695	 0.01695	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-21	"S"	 0.01630	 0.01630	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-06	"B"	 0.02140	 0.02140	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-06	"S"	 0.01820	 0.01820	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-18	"B"	 0.00965	 0.00965	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-18	"S"	 0.01770	 0.01770	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-09	"B"	 0.02485	 0.02485	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-09	"S"	 0.03880	 0.03880	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-23	"B"	 0.01560	 0.01560	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-23	"S"	 0.03450	 0.03450	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-06	"B"	 0.01510	 0.01510	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-06	"S"	 0.02990	 0.02990	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-21	"B"	 0.02095	 0.02095	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-21	"S"	 0.07270	 0.07270	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-04	"B"	 0.02355	 0.02355	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-04	"S"	 0.02550	 0.02550	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-17	"B"	 0.01870	 0.01870	" "	""	NA	""	""	""	""	""
