"station"	"date"	"layer"	"tss..Data.values"	"tss..Data.value2"	"tss.remark.codes"	"tss.value.codes"	"tss.reporting.level"	"tss.reporting.method"	"tss.reporting.units"	"tss.analyte.method"	"tss.analyte.name"	"tss.unique.code"
"CB3.3C"	1991-05-21	"B"	  12.60000	  12.60000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-21	"S"	   4.20000	   4.20000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-06	"B"	   5.00000	   5.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-06	"S"	   3.50000	   3.50000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-18	"B"	   4.90000	   4.90000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-18	"S"	   4.50000	   4.50000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-09	"B"	  20.60000	  20.60000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-09	"S"	   8.60000	   8.60000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-23	"B"	   6.05000	   6.05000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-23	"S"	  10.40000	  10.40000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-06	"B"	  10.30000	  10.30000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-06	"S"	   6.80000	   6.80000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-21	"B"	  14.90000	  14.90000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-21	"S"	  17.00000	  17.00000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-04	"B"	  10.15000	  10.15000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-04	"S"	   6.30000	   6.30000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-17	"B"	   7.10000	   7.10000	" "	""	NA	""	""	""	""	""
