"station"	"date"	"layer"	"tn..Data.values"	"tn..Data.value2"	"tn.remark.codes"	"tn.value.codes"	"tn.reporting.level"	"tn.reporting.method"	"tn.reporting.units"	"tn.analyte.method"	"tn.analyte.name"	"tn.unique.code"
"CB3.3C"	1990-08-28	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-28	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-11	"B"	0.715500	0.715500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-11	"S"	0.794000	0.794000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-25	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-25	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-16	"B"	0.658000	0.658000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-16	"S"	0.816000	0.816000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-30	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-30	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-11-13	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-11-13	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-12-11	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-12-11	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-01-08	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-01-08	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-02-12	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-02-12	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-13	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-13	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-26	"B"	1.018000	1.018000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-26	"S"	1.306000	1.306000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-09	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-09	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-23	"B"	1.253500	1.253500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-23	"S"	1.489000	1.489000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-07	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-07	"S"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-21	"B"	0.672700	0.672700	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-21	"S"	0.838000	0.838000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-06	"B"	0.908600	0.908600	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-06	"S"	0.813000	0.813000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-18	"B"	0.686150	0.686150	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-18	"S"	0.672000	0.672000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-09	"B"	0.843000	0.843000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-09	"S"	0.720000	0.720000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-23	"B"	0.753000	0.753000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-23	"S"	0.816000	0.816000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-06	"B"	0.789000	0.789000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-06	"S"	0.617000	0.617000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-21	"B"	0.678000	0.678000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-21	"S"	1.244000	1.244000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-04	"B"	0.684500	0.684500	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-04	"S"	0.642000	0.642000	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-17	"B"	0.529800	0.529800	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-17	"S"	0.747000	0.747000	" "	""	NA	""	""	""	""	""
