"station"	"date"	"layer"	"secchi..Data.values"	"secchi..Data.value2"	"secchi.remark.codes"	"secchi.value.codes"	"secchi.reporting.level"	"secchi.reporting.method"	"secchi.reporting.units"	"secchi.analyte.method"	"secchi.analyte.name"	"secchi.unique.code"
"CB3.3C"	1989-08-29	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-08-29	"S"	0.60	0.60	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-12	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-12	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-27	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-09-27	"S"	1.50	1.50	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-10	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-10	"S"	1.60	1.60	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-24	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-10-24	"S"	1.60	1.60	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-11-14	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-11-14	"S"	1.80	1.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-12-12	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1989-12-12	"S"	1.20	1.20	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-01-09	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-01-09	"S"	1.60	1.60	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-02-07	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-02-07	"S"	0.60	0.60	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-06	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-06	"S"	1.20	1.20	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-21	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-03-21	"S"	0.50	0.50	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-03	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-03	"S"	0.80	0.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-17	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-04-17	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-15	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-15	"S"	1.30	1.30	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-30	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-05-30	"S"	1.20	1.20	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-12	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-12	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-26	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-06-26	"S"	1.30	1.30	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-17	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-17	"S"	1.20	1.20	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-31	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-07-31	"S"	0.80	0.80	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-14	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-14	"S"	0.70	0.70	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-28	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-08-28	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-11	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-11	"S"	1.50	1.50	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-25	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-09-25	"S"	1.30	1.30	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-16	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-16	"S"	1.20	1.20	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-30	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-10-30	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-11-13	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-11-13	"S"	1.10	1.10	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-12-11	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1990-12-11	"S"	1.20	1.20	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-01-08	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-01-08	"S"	1.40	1.40	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-02-12	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-02-12	"S"	1.20	1.20	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-13	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-13	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-26	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-03-26	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-09	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-09	"S"	1.20	1.20	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-23	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-04-23	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-07	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-07	"S"	1.20	1.20	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-21	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-05-21	"S"	1.60	1.60	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-06	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-06	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-18	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-06-18	"S"	1.60	1.60	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-09	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-09	"S"	1.20	1.20	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-23	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-07-23	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-06	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-06	"S"	1.00	1.00	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-21	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-08-21	"S"	0.90	0.90	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-04	"B"	NA	NA	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-04	"S"	1.60	1.60	" "	""	NA	""	""	""	""	""
"CB3.3C"	1991-09-17	"B"	NA	NA	" "	""	NA	""	""	""	""	""
